date,open,high,low,close,to symbol,from symbol
2018-05-13,6.3663,6.3812,6.3215,6.3331,CNY,USD
2018-05-06,6.3318,6.3691,6.3233,6.3617,CNY,USD
2018-04-29,6.3071,6.3472,6.2928,6.337,CNY,USD
2018-04-22,6.2757,6.3163,6.2541,6.2955,CNY,USD
2018-04-15,6.3063,6.3074,6.2658,6.2741,CNY,USD
2018-04-08,6.2792,6.3162,6.2792,6.3086,CNY,USD
2018-04-01,6.2634,6.3042,6.2342,6.2822,CNY,USD
2018-03-25,6.3332,6.3368,6.2711,6.32,CNY,USD
2018-03-18,6.3284,6.3442,6.3008,6.3382,CNY,USD
2018-03-11,6.3486,6.3517,6.3074,6.3285,CNY,USD
2018-03-04,6.3142,6.3612,6.2881,6.3503,CNY,USD
2018-02-25,6.3474,6.3624,6.2979,6.3273,CNY,USD
2018-02-18,6.3278,6.3521,6.3128,6.3401,CNY,USD
2018-02-11,6.2921,6.3435,6.2462,6.2869,CNY,USD
2018-02-04,6.3361,6.3436,6.2683,6.3076,CNY,USD
2018-01-28,6.4042,6.4118,6.3078,6.3159,CNY,USD
2018-01-21,6.4362,6.4469,6.3819,6.403,CNY,USD
2018-01-14,6.4974,6.5342,6.4179,6.4562,CNY,USD
2018-01-07,6.5058,6.5093,6.4694,6.4875,CNY,USD
2017-12-31,6.5388,6.5674,6.494,6.5057,CNY,USD
2017-12-24,6.6146,6.6232,6.539,6.5786,CNY,USD
2017-12-17,6.6175,6.6233,6.5973,6.6149,CNY,USD
2017-12-10,6.619,6.6221,6.6027,6.6183,CNY,USD
2017-12-03,6.5945,6.6356,6.5871,6.6346,CNY,USD
2017-11-26,6.6328,6.6412,6.5666,6.6012,CNY,USD
2017-11-19,6.6388,6.6621,6.6118,6.6619,CNY,USD
2017-11-12,6.6334,6.6507,6.6133,6.6393,CNY,USD
2017-11-05,6.6422,6.6479,6.5832,6.638,CNY,USD
2017-10-29,6.6392,6.6621,6.6191,6.659,CNY,USD
2017-10-22,6.5881,6.6426,6.5875,6.6388,CNY,USD
2017-10-15,6.6248,6.6265,6.5659,6.5833,CNY,USD
2017-10-08,6.6534,6.6671,6.6145,6.65,CNY,USD
2017-10-01,6.6211,6.6834,6.6059,6.6578,CNY,USD
2017-09-24,6.5734,6.6248,6.5612,6.6046,CNY,USD
2017-09-17,6.5309,6.5733,6.5206,6.5507,CNY,USD
2017-09-10,6.5282,6.5542,6.436,6.5309,CNY,USD
2017-09-03,6.608,6.622,6.5151,6.5465,CNY,USD
2017-08-27,6.6653,6.6706,6.5824,6.5829,CNY,USD
2017-08-20,6.673,6.6997,6.6553,6.6687,CNY,USD
2017-08-13,6.7203,6.7226,6.6427,6.662,CNY,USD
2017-08-06,6.7252,6.7647,6.6933,6.7657,CNY,USD
2017-07-30,6.7505,6.7613,6.7143,6.7389,CNY,USD
2017-07-23,6.7468,6.7723,6.7202,6.7197,CNY,USD
2017-07-16,6.7999,6.8073,6.7395,6.7405,CNY,USD
2017-07-02,6.8396,6.8452,6.761,6.7781,CNY,USD
2017-06-25,6.8196,6.8449,6.8025,6.8342,CNY,USD
2017-06-18,6.8055,6.8231,6.7593,6.8034,CNY,USD
2017-06-11,6.8029,6.8068,6.7755,6.7848,CNY,USD
2017-06-04,6.8547,6.8599,6.77,6.8128,CNY,USD
2017-05-28,6.8612,6.9124,6.8447,6.857,CNY,USD
2017-05-21,6.8943,6.9004,6.8531,6.8539,CNY,USD
2017-05-14,6.9043,6.9109,6.8897,6.9021,CNY,USD
2017-05-07,6.8934,6.926,6.883,6.8847,CNY,USD
2017-04-30,6.8613,6.9262,6.8595,6.9121,CNY,USD
2017-04-23,6.8696,6.9059,6.771,6.7921,CNY,USD
2017-04-16,6.9034,6.9062,6.8595,6.891,CNY,USD
2017-04-09,6.8891,6.9313,6.8754,6.9057,CNY,USD
2017-04-02,6.8708,6.9115,6.8674,6.8802,CNY,USD
2017-03-26,6.9065,6.9123,6.8451,6.8535,CNY,USD
2017-03-19,6.9145,6.9241,6.8609,6.9041,CNY,USD
2017-03-12,6.8959,6.9218,6.8466,6.8566,CNY,USD
2017-03-05,6.8702,6.9069,6.8405,6.8962,CNY,USD
2017-02-26,6.879,6.9011,6.8545,6.9007,CNY,USD
2017-02-19,6.8787,6.8878,6.8381,6.8557,CNY,USD
2017-02-12,6.8629,6.8984,6.8563,6.8952,CNY,USD
2017-02-05,6.8807,6.8875,6.8189,6.8722,CNY,USD
2017-01-29,6.853,6.8838,6.8357,6.883,CNY,USD
2017-01-22,6.9,6.9017,6.8271,6.8755,CNY,USD
2017-01-15,6.9367,6.9367,6.877,6.8988,CNY,USD
2017-01-08,6.944,6.9604,6.8605,6.9175,CNY,USD
2017-01-01,6.9447,6.9586,6.9345,6.9438,CNY,USD
2016-12-25,6.953,6.9562,6.9361,6.9453,CNY,USD
2016-12-18,6.9059,6.959,6.8906,6.9583,CNY,USD
2016-12-11,7.4784,7.481,6.8574,6.9067,CNY,USD
2016-12-04,6.9062,6.9112,6.8711,6.8855,CNY,USD
2016-11-27,6.8878,6.9235,6.8755,6.9217,CNY,USD
